Cigar,Brand,Packaging,QTY,Vitola,Type,Size,Purchase Date,Humidor Data,Box Date,Retailer,PPS,Aging
Hoyo de Monterrey,Epicure De Luxe,Box,10,,CC,,11/5/2025,11/13/2025,,,$30,
Por Larranaga,Galanes,Box,10,,CC,,11/5/2025,11/13/2025,,,$33,
H Upmann,Royal Robustos LCDH,Box,10,,CC,,11/5/2025,11/13/2025,,,$48,
Cohiba ,Medio Siglo,Box,25,,CC,,11/5/2025,11/13/2025,,,$53,
Cohiba ,Siglo II,Box,25,,CC,,11/5/2025,11/13/2025,,,$40,
Hoyo de Monterrey,Epicure Especial,Box,10,,CC,,11/10/2025,11/19/2025,,,$40,
Trinidad,Vigia,Box,12,,CC,,11/10/2025,11/19/2025,,,$54,
Cohiba,Exquisitos,Pack,15,,CC,,11/10/2025,11/19/2025,,,$32,
Romeo y Julieta ,Petit Royales,Box,25,,CC,,11/10/2025,11/19/2025,,,$16,
Montecristo,Petit Edmundo,Box,25,,CC,,11/10/2025,11/19/2025,,,$30,
Ramon Allones,Small Club Coronas,Box,25,,CC,,11/10/2025,11/19/2025,,,$17,
Montecristo,Media Corona,Box,25,,CC,,11/10/2025,11/19/2025,,,$15,
San Cristobal,Prado LCDH,Box,10,,CC,,11/10/2025,11/19/2025,,,$60,
Por Larramaga,Picadores,Box,25,,CC,,11/10/2025,11/19/2025,,,$24,
Rey Del Mundo,Choix Supreme,Box,25,,CC,,11/10/2025,11/19/2025,,,$23,
